epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,496.845,1.28516,0.98989,1.10976,0.67589,0.52028,0.58065,0.29742,1.98669,1.91964,1.71277,0.000848969,0.000848969,0.000848969
43,508.312,1.28054,0.93301,1.0718,0.72175,0.5539,0.58856,0.29269,1.98167,1.91229,1.69027,0.000834822,0.000834822,0.000834822
44,517.368,1.33421,1.03756,1.11217,0.66098,0.52475,0.58384,0.29653,1.99645,1.89667,1.712,0.000820675,0.000820675,0.000820675
45,526.077,1.2678,1.05098,1.10131,0.66098,0.52475,0.58384,0.29653,1.99645,1.89667,1.712,0.000806528,0.000806528,0.000806528
46,535.293,1.22643,0.95107,1.0523,0.68161,0.5127,0.53959,0.28955,1.99533,1.93602,1.70657,0.00079238,0.00079238,0.00079238
47,544.446,1.23795,0.97788,1.05961,0.64824,0.50458,0.53644,0.27404,2.02564,2.04978,1.73204,0.000778233,0.000778233,0.000778233
48,553.596,1.31355,0.99697,1.08521,0.64347,0.44273,0.50192,0.26309,2.06031,2.19519,1.75038,0.000764086,0.000764086,0.000764086
49,562.883,1.22582,0.96962,1.06585,0.64347,0.44273,0.50192,0.26309,2.06031,2.19519,1.75038,0.000749939,0.000749939,0.000749939
50,572.043,1.355,1.00944,1.11475,0.69453,0.43783,0.51008,0.2786,2.03669,2.11936,1.72485,0.000735792,0.000735792,0.000735792
51,581.332,1.26556,0.9398,1.07733,0.67787,0.51951,0.54309,0.29034,2.01376,1.95552,1.72925,0.000721645,0.000721645,0.000721645
52,590.686,1.21076,0.91358,1.05143,0.70702,0.58267,0.59157,0.28927,2.06156,1.82077,1.72155,0.000707498,0.000707498,0.000707498
53,600.013,1.24638,0.97675,1.04765,0.70702,0.58267,0.59157,0.28927,2.06156,1.82077,1.72155,0.000693351,0.000693351,0.000693351
54,609.551,1.21641,0.90641,1.05629,0.64935,0.59028,0.59154,0.29259,2.07976,1.76126,1.72098,0.000679204,0.000679204,0.000679204
55,618.703,1.24424,0.97525,1.0795,0.75635,0.5577,0.56798,0.29642,2.05284,1.75666,1.71581,0.000665057,0.000665057,0.000665057
56,627.863,1.22846,0.93377,1.05328,0.74548,0.5443,0.55,0.29074,2.0481,1.83349,1.71368,0.000650909,0.000650909,0.000650909
57,636.985,1.27754,0.90178,1.06256,0.74548,0.5443,0.55,0.29074,2.0481,1.83349,1.71368,0.000636762,0.000636762,0.000636762
58,646.161,1.22435,0.90282,1.06845,0.74685,0.52857,0.56649,0.29998,1.99931,1.87411,1.68281,0.000622615,0.000622615,0.000622615
59,655.155,1.20483,0.88838,1.04839,0.75837,0.5539,0.60191,0.32477,1.94711,1.8066,1.67133,0.000608468,0.000608468,0.000608468
60,664.634,1.23851,0.95766,1.0746,0.74328,0.53795,0.59979,0.31292,1.97315,1.78842,1.69104,0.000594321,0.000594321,0.000594321
61,673.954,1.22097,0.91795,1.05745,0.74328,0.53795,0.59979,0.31292,1.97315,1.78842,1.69104,0.000580174,0.000580174,0.000580174
62,683.433,1.21725,0.88986,1.07658,0.79618,0.55998,0.59794,0.30049,2.06492,1.81239,1.76752,0.000566027,0.000566027,0.000566027
63,692.599,1.21058,0.91002,1.06128,0.78541,0.51882,0.59378,0.29592,2.13139,1.83097,1.81098,0.00055188,0.00055188,0.00055188
64,701.806,1.20231,0.91676,1.04318,0.72413,0.57308,0.63868,0.30692,2.07754,1.80319,1.78379,0.000537733,0.000537733,0.000537733
65,710.919,1.20955,0.93057,1.03957,0.72413,0.57308,0.63868,0.30692,2.07754,1.80319,1.78379,0.000523586,0.000523586,0.000523586
66,719.979,1.12771,0.84319,1.03866,0.73859,0.61012,0.64554,0.31119,2.00696,1.73652,1.75102,0.000509438,0.000509438,0.000509438
67,729.021,1.17256,0.90016,1.08692,0.71248,0.60363,0.65144,0.33087,1.9628,1.70075,1.74081,0.000495291,0.000495291,0.000495291
68,737.982,1.1807,0.85637,1.04853,0.69616,0.60946,0.65255,0.32449,1.94984,1.72526,1.73484,0.000481144,0.000481144,0.000481144
69,746.898,1.17769,0.85236,1.03248,0.69616,0.60946,0.65255,0.32449,1.94984,1.72526,1.73484,0.000466997,0.000466997,0.000466997
70,755.806,1.16786,0.83733,1.01635,0.69899,0.61503,0.64072,0.30714,1.97082,1.69225,1.75845,0.00045285,0.00045285,0.00045285
71,764.284,1.16237,0.84171,1.03048,0.78613,0.59726,0.66666,0.31453,1.96186,1.63865,1.76278,0.000438703,0.000438703,0.000438703
72,772.868,1.14433,0.83094,1.03389,0.78219,0.6055,0.66487,0.32394,1.93671,1.59673,1.7586,0.000424556,0.000424556,0.000424556
73,781.438,1.15206,0.84218,1.0341,0.78219,0.6055,0.66487,0.32394,1.93671,1.59673,1.7586,0.000410409,0.000410409,0.000410409
74,789.949,1.11073,0.82597,1.02032,0.77772,0.60153,0.63448,0.31429,1.92504,1.58591,1.76015,0.000396262,0.000396262,0.000396262
75,798.583,1.19217,0.83054,1.04456,0.75744,0.58,0.60111,0.29831,1.97067,1.62692,1.78498,0.000382115,0.000382115,0.000382115
76,807.219,1.12711,0.81973,1.00408,0.72302,0.57929,0.59042,0.29866,1.99111,1.64885,1.78646,0.000367967,0.000367967,0.000367967
77,816.056,1.14826,0.84323,1.01411,0.72302,0.57929,0.59042,0.29866,1.99111,1.64885,1.78646,0.00035382,0.00035382,0.00035382
78,825.019,1.12752,0.83187,1.00128,0.70046,0.56358,0.60094,0.29475,1.99217,1.64548,1.77536,0.000339673,0.000339673,0.000339673
79,833.761,1.10828,0.81253,1.00817,0.73288,0.58411,0.62109,0.30952,1.99036,1.64695,1.76765,0.000325526,0.000325526,0.000325526
80,842.39,1.14914,0.86764,1.02141,0.74441,0.59987,0.66789,0.31578,1.9952,1.63998,1.76039,0.000311379,0.000311379,0.000311379
81,851.204,1.10798,0.84694,0.99914,0.74441,0.59987,0.66789,0.31578,1.9952,1.63998,1.76039,0.000297232,0.000297232,0.000297232
82,859.979,1.10048,0.81128,1.01045,0.76188,0.60065,0.6724,0.31944,1.99393,1.63108,1.76865,0.000283085,0.000283085,0.000283085
83,868.464,1.08729,0.82824,1.01879,0.75585,0.63197,0.67553,0.32503,1.97768,1.60582,1.76954,0.000268938,0.000268938,0.000268938
84,876.843,1.04188,0.8132,1.01884,0.73612,0.63444,0.64039,0.31778,1.971,1.58426,1.78275,0.000254791,0.000254791,0.000254791
85,885.345,1.05528,0.77344,1.0056,0.73612,0.63444,0.64039,0.31778,1.971,1.58426,1.78275,0.000240644,0.000240644,0.000240644
86,893.983,1.12681,0.82562,1.02696,0.71486,0.62798,0.61647,0.31645,1.96328,1.55161,1.78625,0.000226497,0.000226497,0.000226497
87,902.605,1.08562,0.81033,1.02786,0.72564,0.64583,0.62278,0.31493,1.97228,1.52773,1.79242,0.000212349,0.000212349,0.000212349
88,911.219,1.09994,0.79638,0.98387,0.74027,0.63123,0.62484,0.31338,1.99224,1.51886,1.80957,0.000198202,0.000198202,0.000198202
89,919.877,1.05182,0.78552,0.99742,0.74027,0.63123,0.62484,0.31338,1.99224,1.51886,1.80957,0.000184055,0.000184055,0.000184055
90,928.531,1.03182,0.81133,0.99425,0.75229,0.59046,0.61901,0.30348,2.01197,1.53363,1.83269,0.000169908,0.000169908,0.000169908
91,936.845,1.08055,0.80059,1.02714,0.72056,0.62736,0.63275,0.31363,2.01102,1.53791,1.82658,0.000155761,0.000155761,0.000155761
92,945.152,1.12298,0.83423,1.03093,0.72003,0.6313,0.62317,0.30978,1.99464,1.5426,1.7998,0.000141614,0.000141614,0.000141614
93,953.368,1.01355,0.74781,0.97442,0.72003,0.6313,0.62317,0.30978,1.99464,1.5426,1.7998,0.000127467,0.000127467,0.000127467
94,961.482,1.03714,0.75495,0.99142,0.73597,0.62731,0.6215,0.30729,1.99742,1.57277,1.795,0.00011332,0.00011332,0.00011332
95,969.787,1.01759,0.76945,0.99654,0.73086,0.62731,0.61774,0.30992,1.99823,1.59463,1.78871,9.91726e-05,9.91726e-05,9.91726e-05
96,978.615,1.00924,0.73317,0.98381,0.73412,0.61839,0.61809,0.30556,1.99874,1.60256,1.78393,8.50255e-05,8.50255e-05,8.50255e-05
97,987.2,1.05727,0.78216,1.01983,0.73412,0.61839,0.61809,0.30556,1.99874,1.60256,1.78393,7.08784e-05,7.08784e-05,7.08784e-05
98,996.041,1.02686,0.76725,0.99951,0.73709,0.62731,0.64762,0.31189,2.0028,1.6184,1.77902,5.67313e-05,5.67313e-05,5.67313e-05
99,1004.69,1.01945,0.76958,1.00303,0.72639,0.62731,0.65015,0.31311,2.00776,1.61369,1.7792,4.25842e-05,4.25842e-05,4.25842e-05
100,1013.37,1.02491,0.81713,0.99898,0.72649,0.64,0.64727,0.31768,2.00555,1.60418,1.77491,2.84371e-05,2.84371e-05,2.84371e-05
